# Canonical q golden corpus.
#
# Tab-separated columns: status, expr, canonical, leia, reason.
#   status    one of match / deviation / gap.
#   expr      the q expression under test (evaluated on a fresh session).
#   canonical the value canonical kdb+/q returns for expr, written as a q
#             literal/expression evaluated through Leia for comparison, or
#             ERROR / ERROR:substr when canonical q signals an error, or NAN
#             for a float NaN atom.
#   leia      deviation entries: the DOCUMENTED Leia behavior (expression,
#             ERROR:substr, or NAN); optional drift pin for gap entries.
#   reason    free text for deviation/gap entries.
#
# Every canonical column was hand-encoded from canonical kdb+/q semantics;
# entries the author was not certain about were left out rather than guessed.
#
# ---- null & arithmetic propagation ----
match	1+0N	0N
match	0N+1	0N
match	2*0N	0N
match	0N%2	0n
match	1%0	0w
match	-1%0	-0w
deviation	0%0	0n	NAN	bitmap nulls: float NaN is distinct from null
match	1+0n	0n
match	0N-1	0N
match	neg 0N	0N
match	abs 0N	0N
match	abs -0W	0W
match	1 div 0	0N
match	1 mod 0	0N
match	7 div 2	3
match	-7 div 2	-4
match	7 mod 2	1
match	-7 mod 2	1
match	7.5 mod 2	1.5
match	1%2	0.5
# ---- aggregate null handling ----
match	sum 1 0N 3	4
match	avg 1 0N 3	2f
match	min 1 0N 3	1
match	max 1 0N 3	3
match	prd 2 0N 4	8
match	count 1 0N 3	3
match	first 0N 1	0N
match	sums 1 0N 3	1 1 4
match	var 1 0N 3	1f
match	avg 1 2 0n	1.5
deviation	sum 0n 1	1f	1	bitmap nulls: 0n in a long vector context becomes 0N, sum stays long
match	max 0N 0N	0N
# ---- empty-vector identities ----
match	sum 0#0	0
match	sum til 0	0
gap	min til 0	0W	0N	empty-vector reducer identities: min () should be 0W, not null
gap	max til 0	-0W	0N	empty-vector reducer identities: max () should be -0W
gap	prd til 0	1	0N	empty-vector reducer identities: prd () should be 1
match	avg til 0	0n
gap	min 0#0.0	0w	0N	empty-vector reducer identities: float min () should be 0w
gap	sum ()	0	0N	empty-vector reducer identities: sum () should be 0
match	(&/)[til 0]	0W
match	(|/)[til 0]	-0W
gap	(+/)[til 0]	0	0N	empty-vector reducer identities for derived +/
gap	(*/)[til 0]	1	0N	empty-vector reducer identities for derived */
match	count ()	0
match	all ()	1b
match	any ()	0b
match	first 0#0	0N
match	last 0#0	0N
match	first 0#0.0	0n
# ---- promotion matrix corners ----
match	1+2	3
match	1+2.5	3.5
deviation	1i+1i	2i	2	long promotion: int arithmetic widens to long
match	1i+1j	2
deviation	1b+1b	2i	ERROR:numeric operands	truthiness booleans: no boolean arithmetic
deviation	1b+1	2	ERROR:numeric operands	truthiness booleans: no boolean arithmetic
deviation	1b+1f	2f	ERROR:numeric operands	truthiness booleans: no boolean arithmetic
match	1i+1f	2f
match	2=2.0	1b
match	1i=1j	1b
match	2 xexp 10	1024f
match	sqrt 4	2f
deviation	sqrt -1	0n	NAN	bitmap nulls: NaN result is not null
match	exp 0	1f
match	log 1	0f
match	log 0	-0w
deviation	log -1	0n	NAN	bitmap nulls: NaN result is not null
match	floor 2.7	2
match	ceiling 2.1	3
match	floor -2.5	-3
deviation	signum -3	-1i	-1	long promotion: signum returns long, canonical returns int
deviation	signum 0	0i	0	long promotion: signum returns long, canonical returns int
match	reciprocal 4	0.25
match	abs -5	5
match	neg 5	-5
match	2 3 4*2	4 6 8
match	1 2+10 20	11 22
match	1 2+1 2 3	ERROR
match	1.5+1 2	2.5 3.5
# ---- comparison truth table incl. nulls and infinities ----
match	0N<1	1b
match	0N>1	0b
match	0N=0N	1b
match	0n=0n	1b
match	0N<-0W	1b
match	0w>0W	1b
match	-0w<0N	0b
match	1<2 3 0	110b
match	0N~0N	1b
match	1~1f	0b
match	()~()	1b
match	(0#0)~()	0b
match	1 2~1 2	1b
deviation	0n~0N	0b	1b	single null model: typed nulls are not distinguished
match	null 0N	1b
match	null 0n	1b
match	not 0	1b
match	not 5	0b
match	not 0 1 2	100b
match	2&3	2
match	2|3	3
match	0b&1b	0b
match	1b|0b	1b
match	1 2&2 1	1 1
match	0N&1	0N
match	0N|1	1
match	1b&2	1
match	1b|0	1
match	0N|0b	0
match	2.5|1 2 3	2.5 2.5 3
match	(&/)[0#0.0]	0w
match	(|/)[0#0.0]	-0w
# ---- take / drop / reshape edges ----
match	3#1 2	1 2 1
match	5#1 2 3	1 2 3 1 2
match	-2#1 2 3	2 3
match	-5#1 2 3	2 3 1 2 3
match	0#1 2 3	til 0
match	3#0#1	0 0 0
gap	2#`a`b`c!1 2 3	`a`b!1 2	{(x;x)}[`a`b`c!1 2 3]	take on dict should keep first n entries, Leia cycles the dict as an item
match	1_1 2 3	2 3
match	-1_1 2 3	1 2
match	5_1 2 3	til 0
match	0_1 2 3	1 2 3
match	2 3#til 6	(0 1 2;3 4 5)
match	2 3#1 2	(1 2 1;2 1 2)
gap	0N 2#til 6	(0 1;2 3;4 5)	ERROR:reshape	null reshape dimension should be computed from the other one
gap	2 0N#til 6	(0 1 2;3 4 5)	ERROR:reshape	null reshape dimension should be computed from the other one
gap	2 cut 1 2 3 4 5	(1 2;3 4;1#5)	enlist 3 4 5	atom cut should chunk by size, Leia cuts at index instead
match	0 2 cut til 5	(0 1;2 3 4)
match	2 sublist 1 2 3	1 2
gap	10 sublist 1 2	1 2	10#1 2	sublist must not overtake, Leia cycles like take
match	-2 sublist 1 2 3	2 3
match	1 2 sublist til 10	1 2
gap	enlist 1	1#1	value `a!1	enlist should return a typed one-item vector, Leia returns a generic list
match	reverse 1 2 3	3 2 1
match	1 rotate 1 2 3	2 3 1
match	-1 rotate 1 2 3	3 1 2
match	raze (1 2;3 4)	1 2 3 4
gap	raze ()	()		empty raze yields a null-kind empty instead of ()
match	flip (1 2;3 4)	(1 3;2 4)
# ---- join (,) ----
gap	1 2,3	1 2 3	ERROR	join verb , is not implemented
gap	"ab","cd"	"abcd"	ERROR	join verb , is not implemented
gap	(),1	1#1	ERROR	join verb , is not implemented
gap	(,/)[(1 2;3 4)]	1 2 3 4	ERROR	join verb , is not implemented, so ,/ raze form fails
# ---- indexing out of bounds -> nulls ----
gap	(1 2 3)@5	0N	ERROR:out of range	index out of bounds should return 0N, Leia errors
gap	(1 2 3)@-1	0N	ERROR	negative index should return 0N, Leia errors
gap	(1 2 3)@0N	0N	ERROR	null index should return 0N, Leia errors
gap	(1.5 2.5)@7	0n	ERROR:out of range	index out of bounds should return float null
match	(1 2 3)@1 2	2 3
match	(2 3#til 6) . 1 2	5
match	x:10 20 30;x[1]	20
gap	x:10 20 30;x 1	20	(10 20 30;1)	juxtaposed name indexing builds a list instead of indexing
match	x:(1 2;3 4);x . (1;0)	3
gap	x:(1 2;3 4);x[1;0]	3	ERROR	multi-axis bracket indexing on names unsupported
# ---- dict operations ----
match	(`a`b!1 2)`a	1
match	(`a`b!1 2)`c	0N
match	(`a`b!1 2)@`b`a	2 1
match	key `a`b!1 2	`a`b
deviation	value `a`b!1 2	1 2	value `x`y!1 2	dict values are returned as a generic list, canonical returns typed
match	(`a`b!1 2)?2	`b
match	(`a`b!1 2)?99	`$""
match	(`a`a!1 2)`a	1
match	count `a`b!1 2	2
gap	(`a`b!1 2)+`b`c!10 20	`a`b`c!1 12 20	ERROR	dict key-union arithmetic absent
gap	(`a`b!1 2)=`a`b!1 3	`a`b!10b		dict = compares per key now, but the string evaluator splits ! after = in the unparenthesized form
match	(`a`b!1 2)=(`a`b!1 3)	`a`b!10b
gap	reverse `a`b!1 2	`b`a!2 1	`a`b!1 2	reverse on dict should reverse both keys and values
gap	where `a`b`c!1 0 2	`a`c`c	ERROR	where on dict should replicate keys by count
