# Canonical q golden corpus.
#
# Tab-separated columns: status, expr, canonical, leia, reason.
#   status    one of match / deviation / gap.
#   expr      the q expression under test (evaluated on a fresh session).
#   canonical the value canonical kdb+/q returns for expr, written as a q
#             literal/expression evaluated through Leia for comparison, or
#             ERROR / ERROR:substr when canonical q signals an error, or NAN
#             for a float NaN atom.
#   leia      deviation entries: the DOCUMENTED Leia behavior (expression,
#             ERROR:substr, or NAN); optional drift pin for gap entries.
#   reason    free text for deviation/gap entries.
#
# Every canonical column was hand-encoded from canonical kdb+/q semantics;
# entries the author was not certain about were left out rather than guessed.
#
# ---- null & arithmetic propagation ----
match	1+0N	0N
match	0N+1	0N
match	2*0N	0N
match	0N%2	0n
match	1%0	0w
match	-1%0	-0w
deviation	0%0	0n	NAN	single-null design: the dialect has ONE untyped null; IEEE NaN is an ordinary float value distinct from it, where canonical q's float null 0n doubles as NaN
match	1+0n	0n
match	0N-1	0N
match	neg 0N	0N
match	abs 0N	0N
match	abs -0W	0W
match	1 div 0	0N
match	1 mod 0	0N
match	7 div 2	3
match	-7 div 2	-4
match	7 mod 2	1
match	-7 mod 2	1
match	7.5 mod 2	1.5
match	1%2	0.5
# ---- aggregate null handling ----
match	sum 1 0N 3	4
match	avg 1 0N 3	2f
match	min 1 0N 3	1
match	max 1 0N 3	3
match	prd 2 0N 4	8
match	count 1 0N 3	3
match	first 0N 1	0N
match	sums 1 0N 3	1 1 4
match	var 1 0N 3	1f
match	avg 1 2 0n	1.5
deviation	sum 0n 1	1f	1	single-null design: 0n denotes the one untyped null, so 0n 1 is a long vector with a null and sum stays long; canonical's typed float null floats the vector
match	max 0N 0N	0N
# ---- empty-vector identities ----
match	sum 0#0	0
match	sum til 0	0
match	min til 0	0W
match	max til 0	-0W
match	prd til 0	1
match	avg til 0	0n
match	min 0#0.0	0w
match	sum ()	0
match	(&/)[til 0]	0W
match	(|/)[til 0]	-0W
match	(+/)[til 0]	0
match	(*/)[til 0]	1
match	count ()	0
match	all ()	1b
match	any ()	0b
match	first 0#0	0N
match	last 0#0	0N
match	first 0#0.0	0n
# ---- promotion matrix corners ----
match	1+2	3
match	1+2.5	3.5
deviation	1i+1i	2i	2	long-promotion design: the dialect's only integer surface type is long; all narrower integer results widen to long (canonical keeps int+int at int)
match	1i+1j	2
deviation	1b+1b	2i	ERROR:numeric operands	boolean-is-logical design: booleans are truth values, not 1-bit integers; arithmetic on them is a type error where canonical q widens 1b to 1
deviation	1b+1	2	ERROR:numeric operands	boolean-is-logical design: booleans are truth values, not 1-bit integers; arithmetic on them is a type error where canonical q widens 1b to 1
deviation	1b+1f	2f	ERROR:numeric operands	boolean-is-logical design: booleans are truth values, not 1-bit integers; arithmetic on them is a type error where canonical q widens 1b to 1
match	1i+1f	2f
match	2=2.0	1b
match	1i=1j	1b
match	2 xexp 10	1024f
match	sqrt 4	2f
deviation	sqrt -1	0n	NAN	single-null design: the dialect has ONE untyped null; IEEE NaN is an ordinary float value distinct from it, where canonical q's float null 0n doubles as NaN
match	exp 0	1f
match	log 1	0f
match	log 0	-0w
deviation	log -1	0n	NAN	single-null design: the dialect has ONE untyped null; IEEE NaN is an ordinary float value distinct from it, where canonical q's float null 0n doubles as NaN
match	floor 2.7	2
match	ceiling 2.1	3
match	floor -2.5	-3
deviation	signum -3	-1i	-1	long-promotion design: the dialect's only integer surface type is long; all narrower integer results widen to long (canonical signum returns int)
deviation	signum 0	0i	0	long-promotion design: the dialect's only integer surface type is long; all narrower integer results widen to long (canonical signum returns int)
match	reciprocal 4	0.25
match	abs -5	5
match	neg 5	-5
match	2 3 4*2	4 6 8
match	1 2+10 20	11 22
match	1 2+1 2 3	ERROR
match	1.5+1 2	2.5 3.5
# ---- comparison truth table incl. nulls and infinities ----
match	0N<1	1b
match	0N>1	0b
match	0N=0N	1b
match	0n=0n	1b
match	0N<-0W	1b
match	0w>0W	1b
match	-0w<0N	0b
match	1<2 3 0	110b
match	0N~0N	1b
match	1~1f	0b
match	()~()	1b
match	(0#0)~()	0b
match	1 2~1 2	1b
deviation	0n~0N	0b	1b	single-null design: 0n and 0N spell the same (only) null, so they match; canonical q has per-type nulls that do not match each other
match	null 0N	1b
match	null 0n	1b
match	not 0	1b
match	not 5	0b
match	not 0 1 2	100b
match	2&3	2
match	2|3	3
match	0b&1b	0b
match	1b|0b	1b
match	1 2&2 1	1 1
match	0N&1	0N
match	0N|1	1
match	1b&2	1
match	1b|0	1
match	0N|0b	0
match	2.5|1 2 3	2.5 2.5 3
match	(&/)[0#0.0]	0w
match	(|/)[0#0.0]	-0w
# ---- take / drop / reshape edges ----
match	3#1 2	1 2 1
match	5#1 2 3	1 2 3 1 2
match	-2#1 2 3	2 3
match	-5#1 2 3	2 3 1 2 3
match	0#1 2 3	til 0
match	3#0#1	0 0 0
match	2#`a`b`c!1 2 3	`a`b!1 2
match	1_1 2 3	2 3
match	-1_1 2 3	1 2
match	5_1 2 3	til 0
match	0_1 2 3	1 2 3
match	2 3#til 6	(0 1 2;3 4 5)
match	2 3#1 2	(1 2 1;2 1 2)
match	0N 2#til 6	(0 1;2 3;4 5)
match	2 0N#til 6	(0 1 2;3 4 5)
match	2 cut 1 2 3 4 5	(1 2;3 4;1#5)
match	0 2 cut til 5	(0 1;2 3 4)
match	2 sublist 1 2 3	1 2
match	10 sublist 1 2	1 2
match	-2 sublist 1 2 3	2 3
match	1 2 sublist til 10	1 2
match	enlist 1	1#1
match	reverse 1 2 3	3 2 1
match	1 rotate 1 2 3	2 3 1
match	-1 rotate 1 2 3	3 1 2
match	raze (1 2;3 4)	1 2 3 4
match	raze ()	()
match	flip (1 2;3 4)	(1 3;2 4)
# ---- join (,) ----
match	1 2,3	1 2 3
match	"ab","cd"	"abcd"
match	(),1	1#1
match	(,/)[(1 2;3 4)]	1 2 3 4
match	1 2,3 4	1 2 3 4
match	1,2	1 2
match	(`a`b!1 2),`b`c!20 30	`a`b`c!1 20 30
match	(1 2;3 4),'(5;6)	(1 2 5;3 4 6)
match	,/(1 2;3 4)	1 2 3 4
match	,/("ab";"cd";"ef")	"abcdef"
match	1 2,()	1 2
match	(),1 2	1 2
match	1+2,3 4	3 4 5
match	1 2,3+4	1 2 7
match	1 2,'3 4	(1 3;2 4)
match	0 1,':2 3	(2 0 1;3 2)
match	,\(1 2;3 4;5)	(1 2;1 2 3 4;1 2 3 4 5)
match	`a,`b`c	`a`b`c
match	(0#1),1 2 3	1 2 3
match	count ([] a:1 2),([] a:3 4)	4
# ---- indexing out of bounds -> nulls ----
match	(1 2 3)@5	0N
match	(1 2 3)@-1	0N
match	(1 2 3)@0N	0N
match	(1.5 2.5)@7	0n
match	(1 2 3)@1 2	2 3
match	(2 3#til 6) . 1 2	5
match	x:10 20 30;x[1]	20
match	x:10 20 30;x 1	20
match	x:(1 2;3 4);x . (1;0)	3
match	x:(1 2;3 4);x[1;0]	3
# ---- dict operations ----
match	(`a`b!1 2)`a	1
match	(`a`b!1 2)`c	0N
match	(`a`b!1 2)@`b`a	2 1
match	key `a`b!1 2	`a`b
match	value `a`b!1 2	1 2
match	(`a`b!1 2)?2	`b
match	(`a`b!1 2)?99	`$""
match	(`a`a!1 2)`a	1
match	count `a`b!1 2	2
match	(`a`b!1 2)+`b`c!10 20	`a`b`c!1 12 20
match	(`a`b!1 2)=`a`b!1 3	`a`b!10b
match	(`a`b!1 2)=(`a`b!1 3)	`a`b!10b
match	reverse `a`b!1 2	`b`a!2 1
match	where `a`b`c!1 0 2	`a`c`c
match	d:`a`b!1 2;d[`c]:3;d	`a`b`c!1 2 3
match	d:`a`b!1 2;d[`a]:9;d	`a`b!9 2
